10 520 12 810 52 67
18 7505 16 4678 416 292
16 2865 17 4239 179 249
17 6183 14 4844 363 346
43 18232 49 21558 424 439
4 278 11 1465 69 133
2 278 2 135 139 67
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
8 1650 7 1081 206 154
16 1784 22 11990 111 545
34 8410 40 24725 247 618
241 33131 298 548728 137 1841
47 5147 177 186598 109 1054
15 8712 12 4469 580 372
9 512 12 1583 56 131
14 6661 14 5411 475 386
0 0 0 0 0 0
0 0 0 0 0 0
4 658 3 163 164 54
128 149444 36 5604 1167 155
0 0 1 54 0 54
0 0 0 0 0 0
0 0 0 0 0 0
160 154965 59 90785 968 1538
38 7323 46 12131 192 263
49 9804 62 22248 200 358
13 5497 11 2059 422 187
88 22495 115 189470 255 1647
288 43299 386 740896 150 1919
99 32809 109 91971 331 843
86 18975 109 86078 220 789
131 28133 161 147389 214 915
61 6065 101 96361 99 954
138 89770 176 102763 650 583
199 123640 241 153824 621 638
161 141858 174 55066 881 316
154 168120 154 13332 1091 86
190 205033 191 16525 1079 86
225 250325 223 19191 1112 86
278 304578 282 24164 1095 85
37 29986 53 4417 810 83
10 836 10 848 83 84
0 0 0 0 0 0
5 403 4 359 80 89
4 1126 4 288 281 72
9 731 10 596 81 59
9 683 9 663 75 73
8 1078 10 744 134 74
1 52 1 52 52 52
7 754 6 463 107 77
6 453 8 656 75 82
4 509 5 553 127 110
12 1207 16 1327 100 82
7 572 10 736 81 73
7 400 8 644 57 80
12 1136 12 903 94 75
3 511 3 188 170 62
9 872 9 580 96 64
18 2520 15 1637 140 109
12 1496 16 5727 124 357
8 1261 7 941 157 134
6 455 7 515 75 73
1 88 2 136 88 68
6 1043 7 516 173 73
8 683 11 807 85 73
7 1260 11 788 180 71
0 0 0 0 0 0
11 715 10 887 65 88
3 755 4 288 251 72
7 560 5 356 80 71
8 631 9 683 78 75
5 1047 6 641 209 106
1 64 1 301 64 301
10 979 9 731 97 81
2 140 5 292 70 58
5 465 6 394 93 65
12 1083 16 1095 90 68
0 0 0 0 0 0
12 732 12 688 61 57
12 1014 16 1291 84 80
3 508 2 104 169 52
5 664 5 372 132 74
9 683 9 683 75 75
8 730 9 571 91 63
3 584 2 184 194 92
6 692 6 463 115 77
3 350 2 147 116 73
7 944 9 684 134 76
6 538 11 827 89 75
3 469 1 52 156 52
7 1066 7 921 152 131
7 796 8 599 113 74
14 1453 14 1313 103 93
39 6930 40 10154 177 253
28 4236 21 11187 151 532
8 1261 12 962 157 80
1 88 2 136 88 68
5 647 5 459 129 91
1 88 2 136 88 68
7 640 11 820 91 74
10 1178 17 1297 117 76
2 181 2 144 90 72
5 332 6 376 66 62
8 1119 10 831 139 83
2 423 1 52 211 52
13 1005 17 1238 77 72
14 1118 20 1457 79 72
12 1031 14 744 85 53
3 472 4 280 157 70
3 263 4 367 87 91
4 288 4 280 72 70
6 744 10 736 124 73
