93 9 121 14 4 3 1268140 1467 4228431 14 4 3 62 7 70 14 4 3 13173 3206 13790 14 4 3 4939 170 7164 117 97 117
55 0 111 16 5 5 832549 0 3861381 16 5 5 37 0 63 16 5 5 7673 0 12313 16 5 5 3037 0 6462 76 0 114
21 0 94 18 6 5 537682 0 3854931 18 6 5 12 0 45 18 6 5 2137 0 7007 18 6 5 1413 0 5955 36 0 96
24 0 187 16 8 6 1055220 0 8350470 16 8 6 11 0 86 16 8 6 799 0 5086 16 8 6 1124 0 6650 22 0 84
24 0 187 14 9 7 1060431 0 8350054 14 9 7 11 0 86 14 9 7 829 0 5098 14 9 7 1226 0 6754 21 0 84
33 0 173 9 13 9 772291 0 7446208 9 13 9 20 0 86 9 13 9 3663 0 9679 9 13 9 1472 0 4676 43 0 102
71 0 194 8 11 10 1264364 0 7932063 8 11 10 47 0 101 8 11 10 9316 0 13614 8 11 10 3279 0 5893 85 0 118
87 0 193 8 9 8 1385063 0 7920989 8 9 8 58 0 101 8 9 8 11843 0 13888 8 9 8 4078 0 5883 108 0 118
73 0 107 7 11 8 780109 0 2867471 7 11 8 52 0 68 7 11 8 11477 0 13434 7 11 8 3884 0 4959 104 0 116
73 0 107 8 9 5 780102 0 2867470 8 9 5 52 0 68 8 9 5 11480 0 13432 8 9 5 3876 0 4936 105 0 115
55 0 104 8 11 6 628393 0 2869715 8 11 6 38 0 65 8 11 6 8352 0 12530 8 11 6 2906 0 4803 78 0 109
22 0 76 10 12 8 364675 0 2738183 10 12 8 14 0 43 10 12 8 2852 0 7544 10 12 8 1526 0 4817 34 0 81
6 0 63 9 15 8 243941 0 2725228 9 15 8 3 0 30 9 15 8 306 0 1978 9 15 8 717 0 4361 8 0 43
6 0 63 9 15 8 238783 0 2724952 9 15 8 3 0 30 9 15 8 273 0 1940 9 15 8 612 0 4182 8 0 43
24 0 80 7 18 9 382237 0 2742603 7 18 9 16 0 47 7 18 9 3363 0 8806 7 18 9 1534 0 4732 32 0 78
