45 254869 45 254869 5663 5663
583 13549628 583 13549628 23241 23241
751 26755388 751 26755388 35626 35626
321 10695457 321 10695457 33319 33319
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
38 177873 38 177873 4680 4680
35 177381 35 177381 5068 5068
4 244 4 244 61 61
34 177425 34 177425 5218 5218
32 170639 32 170639 5332 5332
32 174449 32 174449 5451 5451
4 244 4 244 61 61
37 172854 37 172854 4671 4671
42 174438 42 174438 4153 4153
34 173753 34 173753 5110 5110
4 244 4 244 61 61
40 173816 40 173816 4345 4345
32 173588 32 173588 5424 5424
36 173438 36 173438 4817 4817
0 0 0 0 0 0
36 174588 36 174588 4849 4849
36 174383 36 174383 4843 4843
36 175641 36 175641 4878 4878
0 0 0 0 0 0
38 175954 38 175954 4630 4630
33 174113 33 174113 5276 5276
42 174428 42 174428 4153 4153
0 0 0 0 0 0
37 174498 37 174498 4716 4716
33 174481 33 174481 5287 5287
37 174160 37 174160 4707 4707
4 244 4 244 61 61
33 173261 33 173261 5250 5250
32 172836 32 172836 5401 5401
14 20155 14 20155 1439 1439
19 149895 19 149895 7889 7889
35 169950 35 169950 4855 4855
34 171695 34 171695 5049 5049
7 2988 7 2988 426 426
33 171700 33 171700 5203 5203
39 178723 39 178723 4582 4582
37 180363 37 180363 4874 4874
7 2988 7 2988 426 426
34 178975 34 178975 5263 5263
40 181868 40 181868 4546 4546
39 182977 39 182977 4691 4691
19 79823 19 79823 4201 4201
18 103018 18 103018 5723 5723
41 182897 41 182897 4460 4460
38 181059 38 181059 4764 4764
36 181756 36 181756 5048 5048
4 244 4 244 61 61
40 181673 40 181673 4541 4541
35 181419 35 181419 5183 5183
14 20155 14 20155 1439 1439
24 161120 24 161120 6713 6713
37 181108 37 181108 4894 4894
42 181944 42 181944 4332 4332
31 181879 31 181879 5867 5867
4 244 4 244 61 61
38 182032 38 182032 4790 4790
41 183226 41 183226 4468 4468
0 0 0 0 0 0
36 182746 36 182746 5076 5076
38 182800 38 182800 4810 4810
30 182374 30 182374 6079 6079
4 244 4 244 61 61
