5 0 22 13 9 6 46595 0 269600 13 9 6 19 0 104 13 9 7 2145 0 12759 13 9 7 463 0 2384 55 0 237
6 0 25 16 7 6 71503 0 359202 16 7 6 27 0 129 16 7 6 2820 0 13585 16 7 6 758 0 3307 79 0 305
3 0 15 17 7 6 36081 0 275074 17 7 6 13 0 91 17 7 6 2025 0 12818 17 7 6 439 0 2684 68 0 295
1 0 12 15 8 6 24938 0 242201 15 8 6 8 0 78 15 8 6 708 0 4965 15 8 6 299 0 2350 29 0 198
1 0 12 16 8 6 24939 0 242201 16 8 6 8 0 78 16 8 6 709 0 4965 16 8 6 299 0 2350 29 0 198
1 0 12 15 8 7 24939 0 242201 15 8 7 8 0 78 15 8 7 709 0 4965 15 8 7 299 0 2350 29 0 198
0 0 3 13 10 7 30 0 166 13 10 7 0 0 3 13 10 7 32 0 184 13 10 7 4 0 14 4 0 14
0 0 3 12 11 9 26 0 158 12 11 9 0 0 3 12 11 9 28 0 178 12 11 9 4 0 14 4 0 14
3 0 31 14 9 8 12575 0 137192 14 9 8 6 0 56 14 9 8 1980 0 19486 14 9 8 195 0 1808 37 0 194
3 0 31 14 9 9 12582 0 137192 14 9 9 7 0 56 14 9 9 1988 0 19486 14 9 9 195 0 1808 37 0 194
3 0 31 15 8 10 12583 0 137191 15 8 10 7 0 56 15 8 10 1989 0 19486 15 8 10 196 0 1808 38 0 194
3 0 32 16 8 7 12590 0 137191 16 8 7 7 0 56 16 8 7 1997 0 19485 16 8 7 196 0 1808 38 0 194
4 0 32 16 8 8 12602 0 137190 16 8 8 7 0 56 16 8 8 2009 0 19485 16 8 8 196 0 1808 38 0 194
0 0 5 15 9 8 43 0 262 15 9 8 0 0 5 15 9 8 43 0 262 15 9 8 5 0 15 5 0 15
0 0 5 16 8 9 42 0 261 16 8 9 0 0 5 16 8 9 42 0 261 16 8 9 5 0 16 5 0 15
1 0 5 16 8 10 54 0 301 16 8 10 1 0 5 16 8 10 53 0 301 16 8 10 5 0 15 5 0 15
1 0 7 17 7 10 68 0 401 17 7 10 1 0 7 17 7 10 75 0 465 17 7 10 6 0 16 5 0 16
1 0 7 16 8 12 67 0 398 16 8 12 1 0 7 16 8 12 75 0 462 16 8 12 6 0 16 5 0 16
1 0 7 15 8 11 67 0 398 15 8 11 1 0 7 15 9 11 75 0 462 15 9 11 5 0 16 5 0 16
1 0 7 14 9 11 67 0 398 14 9 11 1 0 7 14 9 11 72 0 452 14 9 11 5 0 16 4 0 15
1 0 7 12 11 14 55 0 370 12 11 14 1 0 7 12 11 14 59 0 428 12 11 14 4 0 15 4 0 14
0 0 4 7 20 23 27 0 209 7 20 23 0 0 4 7 20 23 23 0 185 7 20 23 2 0 10 2 0 9
0 0 2 5 29 37 14 0 152 5 29 37 0 0 2 5 29 37 11 0 117 5 29 37 1 0 8 1 0 6
1 0 8 5 28 46 12259 0 141309 5 28 46 5 0 52 5 28 46 1132 0 10803 5 28 46 207 0 2137 17 0 161
1 0 7 3 48 45 12246 0 141310 3 48 45 4 0 52 3 48 45 1123 0 10803 3 48 45 206 0 2137 16 0 161
1 0 9 6 23 26 22668 0 189456 6 23 26 8 0 66 6 23 26 1301 0 10999 6 23 26 337 0 2653 18 0 161
1 0 10 8 17 15 22692 0 189453 8 17 15 8 0 66 8 17 15 1420 0 11072 8 17 15 346 0 2654 32 0 202
1 0 10 11 12 7 22698 0 189453 11 12 7 8 0 66 11 12 7 1434 0 11071 11 12 7 348 0 2653 37 0 207
1 0 11 12 11 7 39167 0 285343 12 11 7 13 0 98 12 11 7 1073 0 6033 12 11 7 502 0 3547 33 0 171
2 0 12 13 10 7 46636 0 298488 13 10 7 16 0 102 13 10 7 1315 0 6350 13 10 7 624 0 3822 40 0 190
1 0 10 11 12 9 36215 0 271421 11 12 9 12 0 95 11 12 9 1138 0 6004 11 12 9 493 0 3494 39 0 190
1 0 10 11 12 9 36191 0 271424 11 12 9 12 0 95 11 12 9 1019 0 5862 11 12 9 485 0 3494 25 0 147
1 0 10 12 11 10 36187 0 271424 12 11 10 12 0 95 12 11 10 1007 0 5862 12 11 10 484 0 3494 22 0 139
1 0 9 11 12 9 26511 0 246173 11 12 9 8 0 79 11 12 9 774 0 4928 11 12 9 340 0 2689 30 0 183
0 0 8 11 12 9 19042 0 229404 11 12 9 6 0 73 11 12 9 532 0 4483 11 12 9 220 0 2266 24 0 162
1 0 12 12 11 10 45548 0 324902 12 11 10 13 0 98 12 11 10 940 0 5676 12 11 10 655 0 4529 24 0 162
1 0 12 12 11 11 45548 0 324902 12 11 11 13 0 98 12 11 11 940 0 5676 12 11 11 655 0 4529 24 0 162
1 0 12 9 15 15 45547 0 324902 9 15 15 13 0 98 9 15 15 939 0 5677 9 15 15 654 0 4529 23 0 162
1 0 9 9 15 15 26509 0 232259 9 15 15 7 0 66 9 15 15 411 0 3543 9 15 15 438 0 3945 3 0 12
1 0 9 9 15 18 26508 0 232259 9 15 18 7 0 66 9 15 18 410 0 3543 9 15 18 437 0 3945 3 0 12
0 0 0 7 20 18 2 0 10 7 20 18 0 0 0 7 20 18 2 0 10 7 20 18 2 0 10 2 0 10
0 0 10 9 15 17 22446 0 273950 9 15 17 6 0 81 9 15 17 362 0 4315 9 15 17 181 0 2173 8 0 65
1 0 10 11 12 15 22494 0 273946 11 12 15 7 0 81 11 12 15 1023 0 8764 11 12 15 185 0 2173 29 0 182
1 0 10 12 11 12 22495 0 273946 12 11 12 7 0 81 12 11 12 1024 0 8763 12 11 12 185 0 2173 30 0 182
1 0 10 12 11 11 22495 0 273946 12 11 11 7 0 81 12 11 11 1024 0 8763 12 11 11 185 0 2173 30 0 182
1 0 10 13 10 9 22496 0 273946 13 10 9 7 0 81 13 10 9 1024 0 8763 13 10 9 186 0 2173 30 0 182
0 0 3 12 11 10 51 0 428 12 11 10 0 0 4 12 11 10 665 0 7659 12 11 10 7 0 30 24 0 171
0 0 0 11 12 10 3 0 15 11 12 10 0 0 0 11 12 10 4 0 18 11 12 10 3 0 13 3 0 12
0 0 0 9 15 9 2 0 11 9 15 9 0 0 0 9 15 9 2 0 11 9 15 9 2 0 11 2 0 11
0 0 0 9 15 10 3 0 14 9 15 10 0 0 0 9 15 10 3 0 17 9 15 10 3 0 12 2 0 11
0 0 0 10 14 9 4 0 16 10 14 9 0 0 0 9 15 8 4 0 22 9 15 8 3 0 13 2 0 11
